order_id,product_id,customer_id,date
1,6,1,2024-08-04
2,2,1,2024-08-04
3,5,1,2024-08-04
4,4,1,2024-08-04
5,1,1,2024-08-04
6,7,1,2024-08-04
7,1,2,2023-07-06
8,3,2,2023-07-06
9,2,2,2023-07-06
10,8,3,2024-05-30
11,7,3,2024-05-30
12,4,3,2024-05-30
13,3,3,2024-05-30
14,1,4,2022-12-30
15,3,4,2022-12-30
16,2,4,2022-12-30
17,6,5,2023-03-09
18,8,5,2023-03-09
19,7,5,2023-03-09
20,4,5,2023-03-09
21,1,5,2023-03-09
22,3,5,2023-03-09
23,2,5,2023-03-09
24,2,6,2023-08-11
25,8,6,2023-08-11
26,3,7,2022-12-29
27,1,7,2022-12-29
28,4,7,2022-12-29
29,5,7,2022-12-29
30,6,7,2022-12-29
31,1,8,2023-09-07
32,3,8,2023-09-07
33,5,8,2023-09-07
34,4,8,2023-09-07
35,7,9,2024-08-26
36,3,9,2024-08-26
37,4,10,2023-06-07
38,1,10,2023-06-07
39,2,10,2023-06-07
40,7,10,2023-06-07
41,5,11,2023-11-29
42,1,11,2023-11-29
43,8,11,2023-11-29
44,3,12,2023-05-03
45,8,12,2023-05-03
46,1,12,2023-05-03
47,7,12,2023-05-03
48,5,12,2023-05-03
49,4,12,2023-05-03
50,2,13,2023-03-12
51,7,13,2023-03-12
52,4,13,2023-03-12
53,3,13,2023-03-12
54,6,13,2023-03-12
55,8,13,2023-03-12
56,2,14,2023-11-19
57,6,15,2023-12-07
58,8,15,2023-12-07
59,7,15,2023-12-07
60,6,16,2024-01-03
61,5,16,2024-01-03
62,8,16,2024-01-03
63,7,16,2024-01-03
64,2,16,2024-01-03
65,3,17,2024-02-10
66,5,17,2024-02-10
67,6,17,2024-02-10
68,1,17,2024-02-10
69,8,17,2024-02-10
70,4,17,2024-02-10
71,4,18,2022-12-11
72,2,18,2022-12-11
73,6,18,2022-12-11
74,3,18,2022-12-11
75,1,18,2022-12-11
76,5,18,2022-12-11
77,7,18,2022-12-11
78,1,19,2023-07-31
79,6,19,2023-07-31
80,2,20,2024-05-16
81,3,20,2024-05-16
82,1,20,2024-05-16
83,5,20,2024-05-16
84,6,20,2024-05-16
85,8,20,2024-05-16
86,7,20,2024-05-16
87,2,21,2023-01-03
88,1,21,2023-01-03
89,2,22,2023-07-19
90,7,22,2023-07-19
91,4,22,2023-07-19
92,5,23,2024-03-31
93,7,23,2024-03-31
94,3,23,2024-03-31
95,5,24,2022-12-12
96,8,24,2022-12-12
97,2,24,2022-12-12
98,3,24,2022-12-12
99,7,24,2022-12-12
100,1,24,2022-12-12
101,6,24,2022-12-12
102,6,25,2023-09-25
103,3,26,2023-05-04
104,5,26,2023-05-04
105,7,26,2023-05-04
106,4,26,2023-05-04
107,8,26,2023-05-04
108,3,27,2024-05-28
109,2,28,2024-05-04
110,3,29,2024-07-28
111,7,29,2024-07-28
112,1,29,2024-07-28
113,2,29,2024-07-28
114,6,29,2024-07-28
115,4,29,2024-07-28
116,3,30,2022-12-02
117,1,30,2022-12-02
